Balance Sheet / Assets & Liabilities,2024,2023,2022,2021,2020,2019,2018,2017,2016
Current assets,14419950000,15951285000,14095217000,"5,655,205,000","7,046,542,000",8182610000,"10,910,214,000","8,673,749,000","5,816,313,000"
current liabilities,22900941000,24265004000,19789707000,"12,798,833,000","10,498,491,000",8439100000,"10,822,488,000","9,150,274,000","14,613,311,000"
net current assets,-8480991000,-8313719000,-5694490000,"-7,143,628,000","-3,451,949,000","-256,490,000",87726000,-476525000,-8796998000
Long-term debt,43323944000,53506289000,53708965000,"39,406,684,000",34701113000,"25,867,849,000","19,876,906,000","15,595,025,000","8,598,275,000"
,,,,,,,,,
Equity & Shareholder Metrics,,,,,,,,,
Book Value,30864692000,30180271000,28141058000,"21,962,720,000","29,150,430,000","30,595,435,000","27,894,003,000","27,432,688,000","23,834,903,000"
Intangible Assets,"804,588,000","889,049,000","821,411,000","581,137,000","580,627,000","472,879,000","416,053,000","404,612,000","380,166,000"
Tangible Book Value,30060104000,29291222000,27319647000,21381583000,28569803000,30122556000,27477950000,27028076000,23454737000
Number of Ordinary Shares Outstanding,"336,290,010","336,290,010","336,290,010","336,290,010","336,290,010","336,290,010","336,290,010","336,290,010","336,290,010"
Book Value per Share (BVPS),91.78,89.74,83.68,65.31,86.68,90.98,82.95,81.57,70.88
Tangible Book Value per Share (TBVPS),89.39,87.10,81.24,63.58,84.96,89.57,81.71,80.37,69.75
,,,,,,,,,
Income Statement / Profitability Metrics,,,,,,,,,
Total Revenue,47258528000,46059884000,24570780000,"5,728,379,000",19019241000,"19,570,589,000","18,250,581,000","16,055,386,000","13,378,071,000"
Earnings / Net Profit,1864687000,46809000,1034305000,"-7,253,215","-895,724,000","1,197,164,000","1,583,395,000","1,013,739,000","2,087,762,000"
Basic Earnings per Share (EPS),3.35,-0.94,1.85,-13.93,-1.9,2.37,3.43,1.97,4.13
3-Year Average EPS,1.42,-4.34,-4.66,-4.486666667,1.3,2.59,3.176666667,,
Dividend per Share,,,,,,,,,
,,,,,,,,,
Market Metrics / Ratios,,,,,,,,,
Market Price per Share (March 31st),80.7,66.3,60.1,36,31.2,15.3,33.4,35.9,55.1
Price-to-Earnings Ratio (P/E),24.09,-70.53,32.49,-2.58,-16.42,6.46,9.74,18.22,13.34
Price-to-Book Ratio (P/B),0.88,0.74,0.72,0.55,0.36,0.17,0.40,0.44,0.78
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Defensive Investor Thresholds,2024,2023,2022,2021,2020,2019,2018,2017,2016
Current assets / current liabilities (Current Ratio ? 2),0.6,0.7,0.7,0.4,0.7,1.0,1.0,0.9,0.4
No deficit in earnings for the past 10 years,1864687000,46809000,1034305000,"-7,253,215","-895,724,000","1,197,164,000","1,583,395,000","1,013,739,000","2,087,762,000"
Uninterrupted dividend payments for at least the past 20 years,0,0,0,0,0,0,0,0,0
A minimum increase of 33% in earnings per share (EPS) over the past 10 years,-18.89%,,,,,,,,
Current Price ? 15 × average earnings of the past 3 years,21.3,-65.1,-69.9,-67.30,19.50,38.85,47.65,,
Price ? 1.5 × book value,137.67,134.62,125.52,97.96,130.02,136.47,124.42,122.36,106.31
Combined Rule: P/E × P/B ? 22.5,21.18,-52.11,23.33,-1.42,-5.91,1.09,3.92,8.02,10.37
,,,,,,,,,
Enterprising Investor Thresholds,,,,,,,,,
Current assets ? 1.5× current liabilities,0.6,0.7,0.7,0.4,0.7,,,,
No losses in the past 5 years,1864687000,46809000,1034305000,-7253215.00,-895724000.00,,,,
Uninterrupted dividend payments for at least the past  years,0,0,0,0,0,,,,
Recent earnings higher than those of several years earlier,3%,87%,329%,-70%,-3%,,,,
Market Price?1.2×Tangible Book Value per Share,107.3,104.5,97.5,76.3,101.9,,,,
,,,,,,,,,
,,,,,,,,,
Margin of safety,-279%,202%,186%,,,,,,
Average EPS (3Y),1.42,-4.34,-4.66,,,,,,
Intrinsic Value,21.3,-65.1,-69.9,,,,,,
Market price,80.7,66.3,60.1,,,,,,
