Balance Sheet / Assets & Liabilities,2024,2023,2022,2021,2020,2019,2018,2017,2016
Current assets,"2,283,883,604",1923487104,2786094181,2253324179,,,,,
current liabilities,"764,772,363","569,843,959",1788801400,1428773635,,,,,
net current assets,"1,519,111,241",1353643145,997292781,824550544,0,0,0,0,0
Long-term debt,"2,956,902,514",2561017565,539028884,505964188,,,,,
,,,,,,,,,
Equity & Shareholder Metrics,,,,,,,,,
Book Value ,"4,092,208,816",3257955066,2748093945,1673441610,"1,505,014,888","1,458,269,442",,,
Intangible Assets,"61,673,948",29802942,29011509,29844615,"28,336,185","29,718,037",,,
Tangible Book Value,"4,030,534,868",3228152124,2719082436,1643596995,"1,476,678,703","1,428,551,405",0,0,0
Number of Ordinary Shares Outstanding,"203,630,643","203,630,643","180,000,130","180,000,130",,,,,
Book Value per Share (BVPS),20.10,15.99933594,15.27,9.30,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Tangible Book Value per Share (TBVPS),19.79,15.8529781,15.11,9.13,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,
Income Statement / Profitability Metrics,,,,,,,,,
Total Revenue,"4,360,979,981",3217876711,2647973480,"1,894,193,059","1,451,213,434","1,629,490,517",,,
Earnings / Net Profit,"564,817,723","-13,887,897","294,558,690","163,118,397","38,763,207","-381,490,642",,,
Basic Earnings per Share (EPS),2.77,-0.08,1.64,0.91,,,,,
3-Year Average EPS,1.443333333,0.823333333,0.85,0.303333333,0,0,0,,
Dividend per Share,0,0,0,0,,,,,
,,,,,,,,,
Market Metrics / Ratios,,,,,,,,,
Market Price per Share (March 31st),12,11.9,12.4,12.8,11,5.5,6.9,,
Price-to-Earnings Ratio (P/E),4.48,-148.75,7.56,14.07,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Price-to-Book Ratio (P/B),0.62,0.74,0.81,1.38,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Defensive Investor Thresholds,2024,2023,2022,2021,2020,2019,2018,2017,2016
Current assets / current liabilities (Current Ratio ? 2),3.0,3.4,1.6,1.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
No deficit in earnings for the past 10 years,"564,817,723","-13,887,897","294,558,690","163,118,397","38,763,207","-381,490,642",0,0,0
Uninterrupted dividend payments for at least the past 20 years,0,0,0,0,0,0,0,0,0
A minimum increase of 33% in earnings per share (EPS) over the past 10 years,#DIV/0!,,,,,,,,
Current Price ? 15 × average earnings of the past 3 years,21.65,12.35,12.75,4.55,0.00,0.00,0.00,,
Price ? 1.5 × book value,30.14,24.00,22.90,13.95,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Combined Rule: P/E × P/B ? 22.5,2.762,-110.637,6.141,19.366,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,
Enterprising Investor Thresholds,,,,,,,,,
Current assets ? 1.5× current liabilities,3.0,3.4,1.6,1.6,,,,,
No losses in the past 5 years,564817723.00,-13887897.00,294558690.00,163118397.00,,,,,
Uninterrupted dividend payments for at least the past  years,0,0,0,0,,,,,
Recent earnings higher than those of several years earlier,36%,22%,40%,31%,,,,,
Market Price?1.2×Tangible Book Value per Share,23.8,19.0,18.1,11.0,,,,,
,,,,,,,,,
,,,,,,,,,
Margin of safety,43%,4%,3%,,,,,,
Average EPS (3Y),1,1,1,,,,,,
Intrinsic Value,21.65,12.35,12.75,,,,,,
Market price,12.4,11.9,12.4,,,,,,
