Symbol,Company Name,Sector,Industry,,,
ABAN,ABANS ELECTRICALS PLC,Consumer Durables,Electronics/Appliances,,,
AFSL,ABANS FINANCE PLC,Finance,Finance/Rental/Leasing,,,
AEL,ACCESS ENGINEERING PLC,Industrial Services,Engineering & Construction,,,
ACL,ACL CABLES PLC,Producer Manufacturing,Electrical Products,,,
APLA,ACL PLASTICS PLC,Process Industries,Industrial Specialties,,,
ACME,ACME PRINTING & PACKAGING PLC,Producer Manufacturing,Metal Fabrication,,,
AGAL,AGALAWATTE PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
AGPL,AGARAPATANA PLANTATION PLC,Process Industries,Agricultural Commodities/Milling,,,
AGST,AGSTAR PLC,Process Industries,Chemicals: Agricultural,,,
AHUN,AITKEN SPENCE HOTEL HOLDINGS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
SPEN,AITKEN SPENCE PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
ALLI,ALLIANCE FINANCE COMPANY PLC,Finance,Finance/Rental/Leasing,,,
AFS,ALPHA FIRE SERVICES PLC,Industrial Services,Engineering & Construction,,,
ALUM,ALUMEX PLC,Non-Energy Minerals,Aluminum,,,
ABL,AMANA BANK PLC,Finance,Regional Bank,,,
ATLL,AMANA TAKAFUL LIFE PLC,Finance,Life/Health Insurance,,,
ATL,AMANA TAKAFUL PLC,Finance,Multi-Line Insurance,,,
TAP,AMBEON CAPITAL PLC,Technology Services,Packaged Software,,,
GREG,AMBEON HOLDINGS PLC,Commercial Services,Miscellaneous Commercial Services,,,
AMCL,AMW CAPITAL LEASING AND FINANCE PLC,Finance,Finance/Rental/Leasing,,,
ALHP,ANILANA HOTELS AND PROPERTIES PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
AINS,ARPICO INSURANCE PLC,Finance,Multi-Line Insurance,,,
AAF,ASIA ASSET FINANCE PLC,Finance,Finance/Rental/Leasing,,,
ACAP,ASIA CAPITAL PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
ASIY,ASIA SIYAKA COMMODITIES LIMITED,Distribution Services,Food Distributors,,,
AHPL,ASIAN HOTELS AND PROPERTIES PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
ASIR,ASIRI HOSPITAL HOLDINGS PLC,Health Services,Hospital/Nursing Management,,,
AMSL,ASIRI SURGICAL HOSPITAL PLC,Health Services,Hospital/Nursing Management,,,
AMF,ASSOCIATED MOTOR FINANCE COMPANY PLC,Finance,Finance/Rental/Leasing,,,
BPPL,B P P L HOLDINGS PLC,Producer Manufacturing,Miscellaneous Manufacturing,,,
BFL,BAIRAHA FARMS PLC,Process Industries,Agricultural Commodities/Milling,,,
BALA,BALANGODA PLANTATIONS PLC,Process Industries,Agricultural Commodities/Milling,,,
BRR,BANSEI ROYAL RESORTS HIKKADUWA PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
BERU,BERUWALA RESORTS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
BLUE,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,Jewelry,Gem & Jewelry,,,
BOGA,BOGALA GRAPHITE LANKA PLC,Producer Manufacturing,Electrical Products,,,
BOPL,BOGAWANTALAWA TEA ESTATES PLC,Non-Energy Minerals,Forest Products,,,
BRWN,BROWN & COMPANY PLC,Distribution Services,Wholesale Distributors,,,
BBH,BROWNS BEACH HOTELS PLC,Consumer Services,Hotels/Resorts/Cruise lines,,,
BIL,BROWNS INVESTMENTS PLC,Process Industries,Agricultural Commodities/Milling,,,
BUKI,BUKIT DARAH PLC,Producer Manufacturing,Industrial Conglomerates,,,
CIC,C I C HOLDINGS PLC,Producer Manufacturing,Industrial Conglomerates,,,
COLO,C M HOLDINGS PLC,Consumer Services,Other Consumer Services,,,
CTHR,C T HOLDINGS PLC,Consumer Services,Movies/Entertainment,,,
CTLD,C T LAND DEVELOPMENT PLC,Finance,Real Estate Development,,,
CWM,C. W. MACKIE PLC,Producer Manufacturing,Miscellaneous Manufacturing,,,
CSLK,CABLE SOLUTIONS PLC,Producer Manufacturing,Electrical Products,,,
CALH,CAPITAL ALLIANCE HOLDINGS PLC,Finance,Investment Bank/Broker,,,
CALT,CAPITAL ALLIANCE PLC,Finance,Investment Bank/Broker,,,
CARG,CARGILLS (CEYLON) PLC,Retail Trade,Food Retail,,,
CBNK,CARGILLS BANK PLC,Finance,Regional Bank,,,
CABO,CARGO BOAT DEVELOPMENT COMPANY PLC,Finance,Real Estate Development,,,
